,Delta,storage_fraction
0,Amazon,5.231506140856533e-05
1,Amur,0.00381552392577472
2,Chao_Phraya,0.0015658289626567113
3,Colorado,0.09013787851750585
4,Danube,0.008876227314224964
5,Dnieper,0.022955929762610485
6,Ebro,0.09621472445933452
7,Ganges,0.0008357862896755002
8,Godavari,0.04305363690620985
9,Han,0.060808141815143664
10,Yellow,0.03129416433851706
11,Indus,0.009326677258991679
12,Irrawaddy,0.0008465292793461814
13,Krishna,0.05742106047271114
14,Lena,2.0224800717201197e-05
15,Limpopo,0.023713455652529348
16,Mackenzie,0.0002481045666834291
17,Magdalena,0.0020863370920148187
18,Mahanadi,0.013733181265926543
19,Mekong,0.000995736067135529
20,Mississippi,0.01176859036955936
21,Niger,0.0005260397201457122
22,Nile,0.000773412196952475
23,Orinoco,0.00027742171617495086
24,Parana,0.003541381721184871
25,Pearl,9.101109731420877e-05
26,Po,0.029346237131316635
27,Rhine,0.004760783075850114
28,Rhone,0.015060787736319829
29,Rio_Grande,0.05449440596401074
30,Sao_Francisco,0.11878807334901491
31,Senegal,0.0008254246324424763
32,Hong,0.006378386306825038
33,Tana,0.04172339258964538
34,Shatt_el_Arab,0.018246536198688608
35,Grijalva,0.000516733677946099
36,Vistula,0.025339451301276752
37,Volta,0.006056108734381766
38,Yangtze,0.007528243264969548
39,Congo,0.00018277704526413797
